,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value,List of Selected Features Names,Selected Features scores
0,toy_example,80,44,f_classif_wrapper,GaussianNB(),1,Leave-one-out,2,ACC,0.6875,,
1,toy_example,80,44,RFE_wrapper,GaussianNB(),1,Leave-one-out,2,ACC,0.5625,,
2,toy_example,80,44,relieff_wrapper,GaussianNB(),1,Leave-one-out,2,ACC,0.6875,,
3,toy_example,80,44,relaxed_lasso_wrapper,GaussianNB(),1,Leave-one-out,2,ACC,,,
4,toy_example,80,44,mrmr_wrapper,GaussianNB(),1,Leave-one-out,2,ACC,0.71875,,
5,toy_example,80,44,f_classif_wrapper,GaussianNB(),2,Leave-one-out,2,ACC,0.703125,,
6,toy_example,80,44,RFE_wrapper,GaussianNB(),2,Leave-one-out,2,ACC,0.65625,,
7,toy_example,80,44,relieff_wrapper,GaussianNB(),2,Leave-one-out,2,ACC,0.65625,,
8,toy_example,80,44,relaxed_lasso_wrapper,GaussianNB(),2,Leave-one-out,2,ACC,,,
9,toy_example,80,44,mrmr_wrapper,GaussianNB(),2,Leave-one-out,2,ACC,0.671875,,
10,toy_example,80,44,f_classif_wrapper,GaussianNB(),3,Leave-one-out,2,ACC,0.65625,,
11,toy_example,80,44,RFE_wrapper,GaussianNB(),3,Leave-one-out,2,ACC,0.625,,
12,toy_example,80,44,relieff_wrapper,GaussianNB(),3,Leave-one-out,2,ACC,0.734375,,
13,toy_example,80,44,relaxed_lasso_wrapper,GaussianNB(),3,Leave-one-out,2,ACC,,,
14,toy_example,80,44,mrmr_wrapper,GaussianNB(),3,Leave-one-out,2,ACC,0.734375,,
15,toy_example,80,44,f_classif_wrapper,GaussianNB(),4,Leave-one-out,2,ACC,0.734375,,
16,toy_example,80,44,RFE_wrapper,GaussianNB(),4,Leave-one-out,2,ACC,0.609375,,
17,toy_example,80,44,relieff_wrapper,GaussianNB(),4,Leave-one-out,2,ACC,0.75,,
18,toy_example,80,44,relaxed_lasso_wrapper,GaussianNB(),4,Leave-one-out,2,ACC,,,
19,toy_example,80,44,mrmr_wrapper,GaussianNB(),4,Leave-one-out,2,ACC,0.734375,,
20,toy_example,80,44,f_classif_wrapper,GaussianNB(),5,Leave-one-out,2,ACC,0.75,,
21,toy_example,80,44,RFE_wrapper,GaussianNB(),5,Leave-one-out,2,ACC,0.6875,,
22,toy_example,80,44,relieff_wrapper,GaussianNB(),5,Leave-one-out,2,ACC,0.75,,
23,toy_example,80,44,relaxed_lasso_wrapper,GaussianNB(),5,Leave-one-out,2,ACC,,,
24,toy_example,80,44,mrmr_wrapper,GaussianNB(),5,Leave-one-out,2,ACC,0.71875,,
25,toy_example,80,44,f_classif_wrapper,GaussianNB(),10,Leave-one-out,2,ACC,0.765625,,
26,toy_example,80,44,RFE_wrapper,GaussianNB(),10,Leave-one-out,2,ACC,0.71875,,
27,toy_example,80,44,relieff_wrapper,GaussianNB(),10,Leave-one-out,2,ACC,0.75,,
28,toy_example,80,44,relaxed_lasso_wrapper,GaussianNB(),10,Leave-one-out,2,ACC,,,
29,toy_example,80,44,mrmr_wrapper,GaussianNB(),10,Leave-one-out,2,ACC,0.796875,,
30,toy_example,80,44,f_classif_wrapper,GaussianNB(),15,Leave-one-out,2,ACC,0.734375,,
31,toy_example,80,44,RFE_wrapper,GaussianNB(),15,Leave-one-out,2,ACC,0.796875,,
32,toy_example,80,44,relieff_wrapper,GaussianNB(),15,Leave-one-out,2,ACC,0.78125,,
33,toy_example,80,44,relaxed_lasso_wrapper,GaussianNB(),15,Leave-one-out,2,ACC,,,
34,toy_example,80,44,mrmr_wrapper,GaussianNB(),15,Leave-one-out,2,ACC,0.78125,,
35,toy_example,80,44,f_classif_wrapper,GaussianNB(),20,Leave-one-out,2,ACC,0.765625,,
36,toy_example,80,44,RFE_wrapper,GaussianNB(),20,Leave-one-out,2,ACC,0.78125,,
37,toy_example,80,44,relieff_wrapper,GaussianNB(),20,Leave-one-out,2,ACC,0.78125,,
38,toy_example,80,44,relaxed_lasso_wrapper,GaussianNB(),20,Leave-one-out,2,ACC,,,
39,toy_example,80,44,mrmr_wrapper,GaussianNB(),20,Leave-one-out,2,ACC,0.765625,,
40,toy_example,80,44,f_classif_wrapper,GaussianNB(),30,Leave-one-out,2,ACC,0.78125,,
41,toy_example,80,44,RFE_wrapper,GaussianNB(),30,Leave-one-out,2,ACC,0.78125,,
42,toy_example,80,44,relieff_wrapper,GaussianNB(),30,Leave-one-out,2,ACC,0.796875,,
43,toy_example,80,44,relaxed_lasso_wrapper,GaussianNB(),30,Leave-one-out,2,ACC,,,
44,toy_example,80,44,mrmr_wrapper,GaussianNB(),30,Leave-one-out,2,ACC,0.734375,,
45,toy_example,80,44,f_classif_wrapper,GaussianNB(),50,Leave-one-out,2,ACC,,,
46,toy_example,80,44,RFE_wrapper,GaussianNB(),50,Leave-one-out,2,ACC,,,
47,toy_example,80,44,relieff_wrapper,GaussianNB(),50,Leave-one-out,2,ACC,,,
48,toy_example,80,44,relaxed_lasso_wrapper,GaussianNB(),50,Leave-one-out,2,ACC,,,
49,toy_example,80,44,mrmr_wrapper,GaussianNB(),50,Leave-one-out,2,ACC,,,
50,toy_example,80,44,f_classif_wrapper,GaussianNB(),100,Leave-one-out,2,ACC,,,
51,toy_example,80,44,RFE_wrapper,GaussianNB(),100,Leave-one-out,2,ACC,,,
52,toy_example,80,44,relieff_wrapper,GaussianNB(),100,Leave-one-out,2,ACC,,,
53,toy_example,80,44,relaxed_lasso_wrapper,GaussianNB(),100,Leave-one-out,2,ACC,,,
54,toy_example,80,44,mrmr_wrapper,GaussianNB(),100,Leave-one-out,2,ACC,,,
55,toy_example,80,44,f_classif_wrapper,SVC(),1,Leave-one-out,2,ACC,,,
56,toy_example,80,44,RFE_wrapper,SVC(),1,Leave-one-out,2,ACC,,,
57,toy_example,80,44,relieff_wrapper,SVC(),1,Leave-one-out,2,ACC,,,
58,toy_example,80,44,relaxed_lasso_wrapper,SVC(),1,Leave-one-out,2,ACC,,,
59,toy_example,80,44,mrmr_wrapper,SVC(),1,Leave-one-out,2,ACC,,,
60,toy_example,80,44,f_classif_wrapper,SVC(),2,Leave-one-out,2,ACC,,,
61,toy_example,80,44,RFE_wrapper,SVC(),2,Leave-one-out,2,ACC,,,
62,toy_example,80,44,relieff_wrapper,SVC(),2,Leave-one-out,2,ACC,,,
63,toy_example,80,44,relaxed_lasso_wrapper,SVC(),2,Leave-one-out,2,ACC,,,
64,toy_example,80,44,mrmr_wrapper,SVC(),2,Leave-one-out,2,ACC,,,
65,toy_example,80,44,f_classif_wrapper,SVC(),3,Leave-one-out,2,ACC,,,
66,toy_example,80,44,RFE_wrapper,SVC(),3,Leave-one-out,2,ACC,,,
67,toy_example,80,44,relieff_wrapper,SVC(),3,Leave-one-out,2,ACC,,,
68,toy_example,80,44,relaxed_lasso_wrapper,SVC(),3,Leave-one-out,2,ACC,,,
69,toy_example,80,44,mrmr_wrapper,SVC(),3,Leave-one-out,2,ACC,,,
70,toy_example,80,44,f_classif_wrapper,SVC(),4,Leave-one-out,2,ACC,,,
71,toy_example,80,44,RFE_wrapper,SVC(),4,Leave-one-out,2,ACC,,,
72,toy_example,80,44,relieff_wrapper,SVC(),4,Leave-one-out,2,ACC,,,
73,toy_example,80,44,relaxed_lasso_wrapper,SVC(),4,Leave-one-out,2,ACC,,,
74,toy_example,80,44,mrmr_wrapper,SVC(),4,Leave-one-out,2,ACC,,,
75,toy_example,80,44,f_classif_wrapper,SVC(),5,Leave-one-out,2,ACC,,,
76,toy_example,80,44,RFE_wrapper,SVC(),5,Leave-one-out,2,ACC,,,
77,toy_example,80,44,relieff_wrapper,SVC(),5,Leave-one-out,2,ACC,,,
78,toy_example,80,44,relaxed_lasso_wrapper,SVC(),5,Leave-one-out,2,ACC,,,
79,toy_example,80,44,mrmr_wrapper,SVC(),5,Leave-one-out,2,ACC,,,
80,toy_example,80,44,f_classif_wrapper,SVC(),10,Leave-one-out,2,ACC,,,
81,toy_example,80,44,RFE_wrapper,SVC(),10,Leave-one-out,2,ACC,,,
82,toy_example,80,44,relieff_wrapper,SVC(),10,Leave-one-out,2,ACC,,,
83,toy_example,80,44,relaxed_lasso_wrapper,SVC(),10,Leave-one-out,2,ACC,,,
84,toy_example,80,44,mrmr_wrapper,SVC(),10,Leave-one-out,2,ACC,,,
85,toy_example,80,44,f_classif_wrapper,SVC(),15,Leave-one-out,2,ACC,,,
86,toy_example,80,44,RFE_wrapper,SVC(),15,Leave-one-out,2,ACC,,,
87,toy_example,80,44,relieff_wrapper,SVC(),15,Leave-one-out,2,ACC,,,
88,toy_example,80,44,relaxed_lasso_wrapper,SVC(),15,Leave-one-out,2,ACC,,,
89,toy_example,80,44,mrmr_wrapper,SVC(),15,Leave-one-out,2,ACC,,,
90,toy_example,80,44,f_classif_wrapper,SVC(),20,Leave-one-out,2,ACC,,,
91,toy_example,80,44,RFE_wrapper,SVC(),20,Leave-one-out,2,ACC,,,
92,toy_example,80,44,relieff_wrapper,SVC(),20,Leave-one-out,2,ACC,,,
93,toy_example,80,44,relaxed_lasso_wrapper,SVC(),20,Leave-one-out,2,ACC,,,
94,toy_example,80,44,mrmr_wrapper,SVC(),20,Leave-one-out,2,ACC,,,
95,toy_example,80,44,f_classif_wrapper,SVC(),30,Leave-one-out,2,ACC,,,
96,toy_example,80,44,RFE_wrapper,SVC(),30,Leave-one-out,2,ACC,,,
97,toy_example,80,44,relieff_wrapper,SVC(),30,Leave-one-out,2,ACC,,,
98,toy_example,80,44,relaxed_lasso_wrapper,SVC(),30,Leave-one-out,2,ACC,,,
99,toy_example,80,44,mrmr_wrapper,SVC(),30,Leave-one-out,2,ACC,,,
100,toy_example,80,44,f_classif_wrapper,SVC(),50,Leave-one-out,2,ACC,,,
101,toy_example,80,44,RFE_wrapper,SVC(),50,Leave-one-out,2,ACC,,,
102,toy_example,80,44,relieff_wrapper,SVC(),50,Leave-one-out,2,ACC,,,
103,toy_example,80,44,relaxed_lasso_wrapper,SVC(),50,Leave-one-out,2,ACC,,,
104,toy_example,80,44,mrmr_wrapper,SVC(),50,Leave-one-out,2,ACC,,,
105,toy_example,80,44,f_classif_wrapper,SVC(),100,Leave-one-out,2,ACC,,,
106,toy_example,80,44,RFE_wrapper,SVC(),100,Leave-one-out,2,ACC,,,
107,toy_example,80,44,relieff_wrapper,SVC(),100,Leave-one-out,2,ACC,,,
108,toy_example,80,44,relaxed_lasso_wrapper,SVC(),100,Leave-one-out,2,ACC,,,
109,toy_example,80,44,mrmr_wrapper,SVC(),100,Leave-one-out,2,ACC,,,
110,toy_example,80,44,f_classif_wrapper,RandomForestClassifier(),1,Leave-one-out,2,ACC,0.671875,,
111,toy_example,80,44,RFE_wrapper,RandomForestClassifier(),1,Leave-one-out,2,ACC,0.59375,,
112,toy_example,80,44,relieff_wrapper,RandomForestClassifier(),1,Leave-one-out,2,ACC,0.671875,,
113,toy_example,80,44,relaxed_lasso_wrapper,RandomForestClassifier(),1,Leave-one-out,2,ACC,,,
114,toy_example,80,44,mrmr_wrapper,RandomForestClassifier(),1,Leave-one-out,2,ACC,0.5625,,
115,toy_example,80,44,f_classif_wrapper,RandomForestClassifier(),2,Leave-one-out,2,ACC,0.640625,,
116,toy_example,80,44,RFE_wrapper,RandomForestClassifier(),2,Leave-one-out,2,ACC,0.6875,,
117,toy_example,80,44,relieff_wrapper,RandomForestClassifier(),2,Leave-one-out,2,ACC,0.671875,,
118,toy_example,80,44,relaxed_lasso_wrapper,RandomForestClassifier(),2,Leave-one-out,2,ACC,,,
119,toy_example,80,44,mrmr_wrapper,RandomForestClassifier(),2,Leave-one-out,2,ACC,0.671875,,
120,toy_example,80,44,f_classif_wrapper,RandomForestClassifier(),3,Leave-one-out,2,ACC,0.6875,,
121,toy_example,80,44,RFE_wrapper,RandomForestClassifier(),3,Leave-one-out,2,ACC,0.65625,,
122,toy_example,80,44,relieff_wrapper,RandomForestClassifier(),3,Leave-one-out,2,ACC,0.640625,,
123,toy_example,80,44,relaxed_lasso_wrapper,RandomForestClassifier(),3,Leave-one-out,2,ACC,,,
124,toy_example,80,44,mrmr_wrapper,RandomForestClassifier(),3,Leave-one-out,2,ACC,0.671875,,
125,toy_example,80,44,f_classif_wrapper,RandomForestClassifier(),4,Leave-one-out,2,ACC,0.734375,,
126,toy_example,80,44,RFE_wrapper,RandomForestClassifier(),4,Leave-one-out,2,ACC,0.59375,,
127,toy_example,80,44,relieff_wrapper,RandomForestClassifier(),4,Leave-one-out,2,ACC,0.671875,,
128,toy_example,80,44,relaxed_lasso_wrapper,RandomForestClassifier(),4,Leave-one-out,2,ACC,,,
129,toy_example,80,44,mrmr_wrapper,RandomForestClassifier(),4,Leave-one-out,2,ACC,0.6875,,
130,toy_example,80,44,f_classif_wrapper,RandomForestClassifier(),5,Leave-one-out,2,ACC,0.75,,
131,toy_example,80,44,RFE_wrapper,RandomForestClassifier(),5,Leave-one-out,2,ACC,0.703125,,
132,toy_example,80,44,relieff_wrapper,RandomForestClassifier(),5,Leave-one-out,2,ACC,0.6875,,
133,toy_example,80,44,relaxed_lasso_wrapper,RandomForestClassifier(),5,Leave-one-out,2,ACC,,,
134,toy_example,80,44,mrmr_wrapper,RandomForestClassifier(),5,Leave-one-out,2,ACC,0.65625,,
135,toy_example,80,44,f_classif_wrapper,RandomForestClassifier(),10,Leave-one-out,2,ACC,0.75,,
136,toy_example,80,44,RFE_wrapper,RandomForestClassifier(),10,Leave-one-out,2,ACC,0.671875,,
137,toy_example,80,44,relieff_wrapper,RandomForestClassifier(),10,Leave-one-out,2,ACC,0.703125,,
138,toy_example,80,44,relaxed_lasso_wrapper,RandomForestClassifier(),10,Leave-one-out,2,ACC,,,
139,toy_example,80,44,mrmr_wrapper,RandomForestClassifier(),10,Leave-one-out,2,ACC,0.75,,
140,toy_example,80,44,f_classif_wrapper,RandomForestClassifier(),15,Leave-one-out,2,ACC,0.75,,
141,toy_example,80,44,RFE_wrapper,RandomForestClassifier(),15,Leave-one-out,2,ACC,0.703125,,
142,toy_example,80,44,relieff_wrapper,RandomForestClassifier(),15,Leave-one-out,2,ACC,0.71875,,
143,toy_example,80,44,relaxed_lasso_wrapper,RandomForestClassifier(),15,Leave-one-out,2,ACC,,,
144,toy_example,80,44,mrmr_wrapper,RandomForestClassifier(),15,Leave-one-out,2,ACC,0.796875,,
145,toy_example,80,44,f_classif_wrapper,RandomForestClassifier(),20,Leave-one-out,2,ACC,0.75,,
146,toy_example,80,44,RFE_wrapper,RandomForestClassifier(),20,Leave-one-out,2,ACC,0.734375,,
147,toy_example,80,44,relieff_wrapper,RandomForestClassifier(),20,Leave-one-out,2,ACC,0.734375,,
148,toy_example,80,44,relaxed_lasso_wrapper,RandomForestClassifier(),20,Leave-one-out,2,ACC,,,
149,toy_example,80,44,mrmr_wrapper,RandomForestClassifier(),20,Leave-one-out,2,ACC,0.75,,
150,toy_example,80,44,f_classif_wrapper,RandomForestClassifier(),30,Leave-one-out,2,ACC,0.75,,
151,toy_example,80,44,RFE_wrapper,RandomForestClassifier(),30,Leave-one-out,2,ACC,0.71875,,
152,toy_example,80,44,relieff_wrapper,RandomForestClassifier(),30,Leave-one-out,2,ACC,0.78125,,
153,toy_example,80,44,relaxed_lasso_wrapper,RandomForestClassifier(),30,Leave-one-out,2,ACC,,,
154,toy_example,80,44,mrmr_wrapper,RandomForestClassifier(),30,Leave-one-out,2,ACC,0.703125,,
155,toy_example,80,44,f_classif_wrapper,RandomForestClassifier(),50,Leave-one-out,2,ACC,,,
156,toy_example,80,44,RFE_wrapper,RandomForestClassifier(),50,Leave-one-out,2,ACC,,,
157,toy_example,80,44,relieff_wrapper,RandomForestClassifier(),50,Leave-one-out,2,ACC,,,
158,toy_example,80,44,relaxed_lasso_wrapper,RandomForestClassifier(),50,Leave-one-out,2,ACC,,,
159,toy_example,80,44,mrmr_wrapper,RandomForestClassifier(),50,Leave-one-out,2,ACC,,,
160,toy_example,80,44,f_classif_wrapper,RandomForestClassifier(),100,Leave-one-out,2,ACC,,,
161,toy_example,80,44,RFE_wrapper,RandomForestClassifier(),100,Leave-one-out,2,ACC,,,
162,toy_example,80,44,relieff_wrapper,RandomForestClassifier(),100,Leave-one-out,2,ACC,,,
163,toy_example,80,44,relaxed_lasso_wrapper,RandomForestClassifier(),100,Leave-one-out,2,ACC,,,
164,toy_example,80,44,mrmr_wrapper,RandomForestClassifier(),100,Leave-one-out,2,ACC,,,
165,toy_example,80,44,f_classif_wrapper,LogisticRegression(),1,Leave-one-out,2,ACC,0.703125,,
166,toy_example,80,44,RFE_wrapper,LogisticRegression(),1,Leave-one-out,2,ACC,0.609375,,
167,toy_example,80,44,relieff_wrapper,LogisticRegression(),1,Leave-one-out,2,ACC,0.703125,,
168,toy_example,80,44,relaxed_lasso_wrapper,LogisticRegression(),1,Leave-one-out,2,ACC,,,
169,toy_example,80,44,mrmr_wrapper,LogisticRegression(),1,Leave-one-out,2,ACC,0.671875,,
170,toy_example,80,44,f_classif_wrapper,LogisticRegression(),2,Leave-one-out,2,ACC,0.703125,,
171,toy_example,80,44,RFE_wrapper,LogisticRegression(),2,Leave-one-out,2,ACC,0.546875,,
172,toy_example,80,44,relieff_wrapper,LogisticRegression(),2,Leave-one-out,2,ACC,0.640625,,
173,toy_example,80,44,relaxed_lasso_wrapper,LogisticRegression(),2,Leave-one-out,2,ACC,,,
174,toy_example,80,44,mrmr_wrapper,LogisticRegression(),2,Leave-one-out,2,ACC,0.59375,,
175,toy_example,80,44,f_classif_wrapper,LogisticRegression(),3,Leave-one-out,2,ACC,0.671875,,
176,toy_example,80,44,RFE_wrapper,LogisticRegression(),3,Leave-one-out,2,ACC,0.609375,,
177,toy_example,80,44,relieff_wrapper,LogisticRegression(),3,Leave-one-out,2,ACC,0.6875,,
178,toy_example,80,44,relaxed_lasso_wrapper,LogisticRegression(),3,Leave-one-out,2,ACC,,,
179,toy_example,80,44,mrmr_wrapper,LogisticRegression(),3,Leave-one-out,2,ACC,0.65625,,
180,toy_example,80,44,f_classif_wrapper,LogisticRegression(),4,Leave-one-out,2,ACC,0.71875,,
181,toy_example,80,44,RFE_wrapper,LogisticRegression(),4,Leave-one-out,2,ACC,0.53125,,
182,toy_example,80,44,relieff_wrapper,LogisticRegression(),4,Leave-one-out,2,ACC,0.65625,,
183,toy_example,80,44,relaxed_lasso_wrapper,LogisticRegression(),4,Leave-one-out,2,ACC,,,
184,toy_example,80,44,mrmr_wrapper,LogisticRegression(),4,Leave-one-out,2,ACC,0.65625,,
185,toy_example,80,44,f_classif_wrapper,LogisticRegression(),5,Leave-one-out,2,ACC,0.703125,,
186,toy_example,80,44,RFE_wrapper,LogisticRegression(),5,Leave-one-out,2,ACC,0.65625,,
187,toy_example,80,44,relieff_wrapper,LogisticRegression(),5,Leave-one-out,2,ACC,0.703125,,
188,toy_example,80,44,relaxed_lasso_wrapper,LogisticRegression(),5,Leave-one-out,2,ACC,,,
189,toy_example,80,44,mrmr_wrapper,LogisticRegression(),5,Leave-one-out,2,ACC,0.625,,
190,toy_example,80,44,f_classif_wrapper,LogisticRegression(),10,Leave-one-out,2,ACC,0.734375,,
191,toy_example,80,44,RFE_wrapper,LogisticRegression(),10,Leave-one-out,2,ACC,0.734375,,
192,toy_example,80,44,relieff_wrapper,LogisticRegression(),10,Leave-one-out,2,ACC,0.6875,,
193,toy_example,80,44,relaxed_lasso_wrapper,LogisticRegression(),10,Leave-one-out,2,ACC,,,
194,toy_example,80,44,mrmr_wrapper,LogisticRegression(),10,Leave-one-out,2,ACC,0.765625,,
195,toy_example,80,44,f_classif_wrapper,LogisticRegression(),15,Leave-one-out,2,ACC,0.75,,
196,toy_example,80,44,RFE_wrapper,LogisticRegression(),15,Leave-one-out,2,ACC,0.78125,,
197,toy_example,80,44,relieff_wrapper,LogisticRegression(),15,Leave-one-out,2,ACC,0.71875,,
198,toy_example,80,44,relaxed_lasso_wrapper,LogisticRegression(),15,Leave-one-out,2,ACC,,,
199,toy_example,80,44,mrmr_wrapper,LogisticRegression(),15,Leave-one-out,2,ACC,0.765625,,
200,toy_example,80,44,f_classif_wrapper,LogisticRegression(),20,Leave-one-out,2,ACC,0.71875,,
201,toy_example,80,44,RFE_wrapper,LogisticRegression(),20,Leave-one-out,2,ACC,0.71875,,
202,toy_example,80,44,relieff_wrapper,LogisticRegression(),20,Leave-one-out,2,ACC,0.734375,,
203,toy_example,80,44,relaxed_lasso_wrapper,LogisticRegression(),20,Leave-one-out,2,ACC,,,
204,toy_example,80,44,mrmr_wrapper,LogisticRegression(),20,Leave-one-out,2,ACC,0.703125,,
205,toy_example,80,44,f_classif_wrapper,LogisticRegression(),30,Leave-one-out,2,ACC,0.734375,,
206,toy_example,80,44,RFE_wrapper,LogisticRegression(),30,Leave-one-out,2,ACC,0.765625,,
207,toy_example,80,44,relieff_wrapper,LogisticRegression(),30,Leave-one-out,2,ACC,0.75,,
208,toy_example,80,44,relaxed_lasso_wrapper,LogisticRegression(),30,Leave-one-out,2,ACC,,,
209,toy_example,80,44,mrmr_wrapper,LogisticRegression(),30,Leave-one-out,2,ACC,0.75,,
210,toy_example,80,44,f_classif_wrapper,LogisticRegression(),50,Leave-one-out,2,ACC,,,
211,toy_example,80,44,RFE_wrapper,LogisticRegression(),50,Leave-one-out,2,ACC,,,
212,toy_example,80,44,relieff_wrapper,LogisticRegression(),50,Leave-one-out,2,ACC,,,
213,toy_example,80,44,relaxed_lasso_wrapper,LogisticRegression(),50,Leave-one-out,2,ACC,,,
214,toy_example,80,44,mrmr_wrapper,LogisticRegression(),50,Leave-one-out,2,ACC,,,
215,toy_example,80,44,f_classif_wrapper,LogisticRegression(),100,Leave-one-out,2,ACC,,,
